quote,image,industry,profile link
I operate on the physics approach to analysis. You boil things down to the first principles or fundamental truths in a particular area and then you reason up from there.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F62d700cd6094d2c180f269b9%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D959%26cropY1%3D0%26cropY2%3D959,"Elon Musk cofounded six companies including electric car maker Tesla, rocket producer SpaceX and tunneling startup Boring Company.  ",https://www.forbes.com/profile/elon-musk/?list=billionaires
I didn't think I'd regret trying and failing. And I suspected I would always be haunted by a decision to not try at all.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5bb22ae84bbe6f67d2e82e05%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D627%26cropX2%3D1639%26cropY1%3D129%26cropY2%3D1142,Jeff Bezos founded e-commerce giant Amazon in 1994 out of his garage in Seattle. He stepped down as CEO to become executive chairman in July 2021.,https://www.forbes.com/profile/jeff-bezos/?list=billionaires
"I see myself as an ambassador of French heritage and French culture. What we create is emblematic. It's linked to Versailles, to Marie Antoinette.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5dc05518ca425400079c659f%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D4000%26cropY1%3D1209%26cropY2%3D5212,"Bernard Arnault oversees the LVMH empire of some 70 fashion and cosmetics brands, including Louis Vuitton and Sephora.",https://www.forbes.com/profile/bernard-arnault/?list=billionaires
Money has no utility to me beyond a certain point. Its utility is entirely in building an organization and getting the resources out to the poorest in the world.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F62d599ede3ff49f348f9b9b4%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D155%26cropX2%3D976%26cropY1%3D340%26cropY2%3D1161,Bill Gates turned his fortune from software firm Microsoft into diversified holdings including investments zero-carbon energy.,https://www.forbes.com/profile/bill-gates/?list=billionaires
Rational people don't risk what they have and need for what they don't have and don't need.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5babb7f1a7ea4342a948b79a%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D748%26cropX2%3D3075%26cropY1%3D1753%26cropY2%3D4082,"Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.",https://www.forbes.com/profile/warren-buffett/?list=billionaires
You never lose a dream; it just incubates as a hobby.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c76bcaaa7ea43100043c836%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D227%26cropX2%3D2022%26cropY1%3D22%26cropY2%3D1817,"Larry Page stepped down as CEO of Alphabet, the parent of Google, in December 2019 but remains a board member and a controlling shareholder.",https://www.forbes.com/profile/larry-page/?list=billionaires
"Obviously everyone wants to be successful, but I want to be looked back on as being very innovative, very trusted and ethical and ultimately making a big difference in the world.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c7d7c254bbe6f78090d831f%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D475%26cropX2%3D2887%26cropY1%3D168%26cropY2%3D2582,"Sergey Brin stepped down as president of Alphabet, parent company of Google, in December 2019 but remains a controller shareholder and a board member.",https://www.forbes.com/profile/sergey-brin/?list=billionaires
"When people start telling you that you're crazy, you just might be on to the most important innovation in your life.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e8b62cfc095010007bffea0%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D4529%26cropY1%3D652%26cropY2%3D5184,"Larry Ellison is chairman, chief technology officer and cofounder of software giant Oracle, of which he owns about 35%.",https://www.forbes.com/profile/larry-ellison/?list=billionaires
Computer science is the operating system for all innovation.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F59d50c47a7ea436b47b36d66%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D553%26cropX2%3D2940%26cropY1%3D322%26cropY2%3D2708,"Steve Ballmer is the high-wattage former CEO of Microsoft, who led the company from 2000 to 2014.",https://www.forbes.com/profile/steve-ballmer/?list=billionaires
Anything and everything that can go digital is going digital. India cannot afford to be left behind.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c7d7829a7ea434b351ba0b6%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D206%26cropX2%3D2043%26cropY1%3D250%26cropY2%3D2089,"Mukesh Ambani chairs and runs $74 billion (revenue) Reliance Industries, which has interests in petrochemicals, oil and gas, telecom and retail.",https://www.forbes.com/profile/mukesh-ambani/?list=billionaires
