Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
Accenture,Analystics & Modeling Specialist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-8 Yrs ,Not disclosed,Avg. Salary - ₹14.7 Lakhs,"UG :Any GraduatePG :M.A in Maths, Statistics",,(30728 Reviews),"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",BfsiConsultingMachine learningOpen sourcePythonRQlik ViewPower BI,https://www.naukri.com/job-listings-analystics-modeling-specialist-accenture-solutions-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-6-to-8-years-280722907328,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Wipro,Job||Job Opening For AI Technologist - Data Scientist at Wipro Holmes,,5-10 Yrs ,Not disclosed,,,,(26719 Reviews),"New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Coimbatore, Cochin, Mumbai",deep learningpythonAlgorithmsNatural Language Processingmachine learningReinforcement LearningTorchR,https://www.naukri.com/job-listings-opening-for-ai-technologist-data-scientist-at-wipro-holmes-wipro-limited-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-coimbatore-cochin-mumbai-5-to-10-years-160522007603,https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
NTT DATA Business Solutions Private Limited,Hiring For DATA Scientist @ NTT DATA Business Solution India,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,"18,00,000 - 20,00,000 PA.",,"UG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any Specialization",,(57 Reviews),"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Data ScienceArtificial IntelligenceMachine LearningIT SkillsJavaPythonJavascriptBig Data,https://www.naukri.com/job-listings-hiring-for-data-scientist-ntt-data-business-solution-india-ntt-data-business-solutions-private-limited-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-200722003814,https://www.ambitionbox.com/reviews/ntt-data-business-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Fractal Analytics,Lead ML Scientist,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(291 Reviews),"Mumbai, Bangalore/Bengaluru",deep learningLinuxdata scienceAnalyticalMachine learningManager TechnologyResearchPython,https://www.naukri.com/job-listings-lead-ml-scientist-fractal-analytics-ltd-mumbai-bangalore-bengaluru-6-to-10-years-180822503121,https://www.ambitionbox.com/reviews/fractal-analytics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
PwC,Senior Manager - EmTech - Machine Learning - P&T,"['RoleData Scientist', 'Industry TypeAccounting / Auditing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-12 Yrs ,Not disclosed,Avg. Salary - ₹35 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(3837 Reviews),"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AutomationPrototypeSimulationAnalyticalProcess improvementPackagingData miningRobotics,https://www.naukri.com/job-listings-senior-manager-emtech-machine-learning-p-t-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-bangalore-bengaluru-5-to-12-years-120822502728,https://www.ambitionbox.com/reviews/pwc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Wipro,Urgent Job Opening For AI Practitioner - Data Science at Wipro Holmes,,11-20 Yrs ,Not disclosed,,,,(26719 Reviews),"Kochi/Cochin, New Delhi, Bangalore/Bengaluru, Coimbatore, Chennai, Pune, Mumbai, Hyderabad",Algorithm DevelopmentNatural Language Processingmachine learningDeep LearningPythonComputer VisionCaffeCognitive Computing,https://www.naukri.com/job-listings-urgent-opening-for-ai-practitioner-data-science-at-wipro-holmes-wipro-limited-kochi-cochin-new-delhi-bangalore-bengaluru-coimbatore-chennai-pune-mumbai-hyderabad-11-to-20-years-310522004893,https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
CitiusTech,Assistant Manager - Data Science,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-9 Yrs ,Not disclosed,Avg. Salary - ₹9.6 Lakhs,"PG :Any Postgraduate, M.Pharma in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization",,(691 Reviews),"Mumbai, Pune, Bangalore/Bengaluru",Data ScienceNLPMachine LearningDeep LearningPythonRData ModellingAnalytical,https://www.naukri.com/job-listings-assistant-manager-data-science-citiustech-healthcare-technology-pvt-ltd-mumbai-pune-bangalore-bengaluru-5-to-9-years-010822004921,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
TATA CONSULTANCY SERVICES (TCS),Tcs Hiring For Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,Avg. Salary - ₹7.5 Lakhs,UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate,,(45909 Reviews),"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",pythonmachine learningPower BiTableauNLPSparkIT Skills,https://www.naukri.com/job-listings-tcs-hiring-for-data-scientist-tata-consultancy-services-ltd-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-150822000386,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
SMARTPADDLE TECHNOLOGY PVT. LTD.,Data Scientist - II,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any Specialization",,(54 Reviews),"India, Bangalore/Bengaluru, Mumbai (All Areas)",PythonData AnalyticsJavaIT SkillsBusiness AnalyticsRisk AnalyticsArtificial IntelligenceCredit Risk,https://www.naukri.com/job-listings-data-scientist-ii-smartpaddle-technology-pvt-ltd-bangalore-bengaluru-mumbai-all-areas-india-3-to-6-years-210722606804,https://www.ambitionbox.com/reviews/bizongo-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Baker Hughes,Senior Data Scientist,"['RoleData Scientist', 'Industry TypePower', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-8 Yrs ,Not disclosed,Avg. Salary - ₹27.6 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(311 Reviews),"Mumbai, Bangalore/Bengaluru",Computer scienceData analysisSASCodingMachine learningPerlRubyAnalytics,https://www.naukri.com/job-listings-senior-data-scientist-baker-hughes-the-network-mumbai-bangalore-bengaluru-6-to-8-years-170622500683,https://www.ambitionbox.com/reviews/baker-hughes-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
