Expected Average Salary,Role,Education
Avg. Salary - ₹14.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :M.A in Maths, Statistics"
,,
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any Specialization"
,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹35 Lakhs,"['RoleData Scientist', 'Industry TypeAccounting / Auditing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,,
Avg. Salary - ₹9.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","PG :Any Postgraduate, M.Pharma in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization"
,,
Avg. Salary - ₹7.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate
,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in ComputersPG :M.Com in Any Specialization, MCA in Any Specialization, M.Tech in Any Specialization"
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :MBA/PGDM, MS/M.Sc(Science)"
Avg. Salary - ₹21.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization, M.Tech in Any Specialization"
Avg. Salary - ₹27.6 Lakhs,"['RoleData Scientist', 'Industry TypePower', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹24.4 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,,
Avg. Salary - ₹11.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any Specialization
,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :M.Tech in Computers, Electrical, MS/M.Sc(Science) in Electrical Engineering, Computers, MCA in Computers, MCM in Computers and ManagementDoctorate :Ph.D/Doctorate in Any Specialization"
Avg. Salary - ₹16.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
Avg. Salary - ₹14.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :M.A in Maths, Statistics"
,,
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any Specialization"
,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹35 Lakhs,"['RoleData Scientist', 'Industry TypeAccounting / Auditing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,,
Avg. Salary - ₹9.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","PG :Any Postgraduate, M.Pharma in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization"
,,
Avg. Salary - ₹7.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate
,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in ComputersPG :M.Com in Any Specialization, MCA in Any Specialization, M.Tech in Any Specialization"
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :MBA/PGDM, MS/M.Sc(Science)"
Avg. Salary - ₹21.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization, M.Tech in Any Specialization"
Avg. Salary - ₹27.6 Lakhs,"['RoleData Scientist', 'Industry TypePower', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
