Rank,Name,Age,Net_Worth,Income Source,Residence,Citizenship,Marital Status,Children,Education,Image,Profile Link
1 ,Mukesh Ambani,65,$94.1B,diversified,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",https://specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/832x832.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089,https://www.forbes.com//profile/mukesh-ambani/?list=india-billionaires
2 ,Gautam Adani,60,$74.8B,"commodities, infrastructure, Self Made","Ahmedabad, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/6247592b253b5292622b15f6/832x832.jpg?background=000000&cropX1=403&cropX2=2372&cropY1=70&cropY2=2041,https://www.forbes.com//profile/gautam-adani/?list=india-billionaires
3 ,Shiv Nadar,77,$22.4B,"software services, Self Made","Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",https://specials-images.forbesimg.com/imageserve/605e2b0c7cd0a7025abd3e15/832x832.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,https://www.forbes.com//profile/shiv-nadar/?list=india-billionaires
4 ,Radhakishan Damani,67,$29.4B,"retail, investments, Self Made","Mumbai, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/59d3d5c431358e542c0344ae/832x832.jpg?background=000000&cropX1=765&cropX2=2549&cropY1=102&cropY2=1887,https://www.forbes.com//profile/radhakishan-damani/?list=india-billionaires
5 ,Cyrus Poonawalla,81,$21.5B,vaccines,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",https://specials-images.forbesimg.com/imageserve/5e76844210380d0006fbb391/832x832.jpg?background=000000&cropX1=807&cropX2=2216&cropY1=4&cropY2=1412,https://www.forbes.com//profile/cyrus-poonawalla/?list=india-billionaires
6 ,Lakshmi Mittal,72,$14.4B,steel,"London, United Kingdom",India,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta",https://specials-images.forbesimg.com/imageserve/5e76907e10380d0006fbb485/832x832.jpg?background=000000&cropX1=207&cropX2=1974&cropY1=137&cropY2=1904,https://www.forbes.com//profile/lakshmi-mittal/?list=india-billionaires
7 ,Savitri Jindal,72,$17.2B,steel,"Hisar, India",India,Widowed,9,,https://specials-images.forbesimg.com/imageserve/55f77874e4b0ffa7afe4940e/832x832.jpg?background=000000&cropX1=90&cropX2=676&cropY1=53&cropY2=640,https://www.forbes.com//profile/savitri-jindal/?list=india-billionaires
8 ,Uday Kotak,63,$14.8B,"banking, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai",https://specials-images.forbesimg.com/imageserve/59d3d4884bbe6f37dd9fe8da/832x832.jpg?background=000000&cropX1=371&cropX2=1981&cropY1=444&cropY2=2055,https://www.forbes.com//profile/uday-kotak/?list=india-billionaires
9 ,Pallonji Mistry,construction,$16.4B,Ireland,4,,,,,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/832x832.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,https://www.forbes.com//profile/pallonji-mistry/?list=india-billionaires
10 ,Kumar Birla,55,$15.5B,commodities,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/5e768fdec7b02d000666cfa6/832x832.jpg?background=000000&cropX1=614&cropX2=1271&cropY1=164&cropY2=821,https://www.forbes.com//profile/kumar-birla/?list=india-billionaires
11 ,Godrej family,"consumer goods, real estate",$15.2B,"Mumbai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/61572ecfe607209af825edf2/832x832.jpg?background=000000&cropX1=0&cropX2=2061&cropY1=107&cropY2=2168,https://www.forbes.com//profile/godrej/?list=india-billionaires
12 ,Sunil Mittal,64,$14.7B,"telecom, Self Made","Delhi, India",India,Married,3,"Bachelor of Arts/Science, Punjab University",https://specials-images.forbesimg.com/imageserve/61572f6aff2e22d56fabfa8a/832x832.jpg?background=000000&cropX1=1067&cropX2=3993&cropY1=0&cropY2=2928,https://www.forbes.com//profile/sunil-mittal/?list=india-billionaires
13 ,Bajaj Family,diversified,$14.4B,"Pune, India",India,,,,,https://specials-images.forbesimg.com/imageserve/5d9e687f4223bf0006b81bd1/832x832.jpg?background=000000&cropX1=634&cropX2=3325&cropY1=6&cropY2=2699,https://www.forbes.com//profile/bajaj-family/?list=india-billionaires
14 ,Dilip Shanghvi,66,$14.3B,"pharmaceuticals, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",https://specials-images.forbesimg.com/imageserve/5e768676c7b02d000666cf62/832x832.jpg?background=000000&cropX1=626&cropX2=3084&cropY1=1331&cropY2=3790,https://www.forbes.com//profile/dilip-shanghvi-1/?list=india-billionaires
